,Title,Director,Screenwriter,Main_performer,Types,Region,Language,ShowtTime,Film_length,Score,Rating_people,Watching_people,Wtsee_people,Comments_people
233,追随 Following,克里斯托弗·诺兰,克里斯托弗·诺兰,杰里米·西奥伯德 / 亚历克斯·霍 / 露西·拉塞尔 ,悬疑/惊悚/犯罪, 英国, 英语,1998/9/12,69,8.9,123086,153264,192204,30491
234,东京物语 東京物語,小津安二郎,野田高梧 / 小津安二郎,笠智众 / 原节子 / 杉村春子 ,剧情/家庭, 日本, 日语,1953/11/3,136,9.2,84263,124668,190643,23351
235,一次别离 ????? ???? ?? ?????,阿斯哈·法哈蒂,阿斯哈·法哈蒂,佩曼·莫阿迪 / 蕾拉·哈塔米 / 萨瑞·巴亚特 ,剧情/家庭, 伊朗 / 法国, 波斯语,2012/11/13,123,8.7,186511,253574,177552,48737
236,聚焦 Spotlight,汤姆·麦卡锡,乔希·辛格 / 汤姆·麦卡锡,马克·鲁弗洛 / 迈克尔·基顿 / 瑞秋·麦克亚当斯 ,剧情/传记, 美国, 美国,2015/9/3,128,8.8,195748,260258,158334,47466
237,驴得水,周申,周申 / 刘露,任素汐 / 大力 / 刘帅良 ,剧情/喜剧, 中国大陆, 汉语普通话,2016/10/28,111,8.3,611231,951059,99651,155669
238,黑鹰坠落 Black Hawk Down,雷德利·斯科特,肯·诺兰 / 马克·鲍登,乔什·哈奈特 / 伊万·麦克格雷格 / 汤姆·塞兹摩尔 ,动作/历史/战争, 美国, 美国,2001/12/18,144,8.7,195734,273763,75639,27976
239,发条橙 A Clockwork Orange,斯坦利·库布里克,斯坦利·库布里克 / 安东尼·伯吉斯,马尔科姆·麦克道威尔 / 帕特里克·马基 / 迈克尔·贝茨 ,剧情/科幻/犯罪, 英国 / 美国, 英语,1971/12/19,136,8.5,267335,372270,202773,50662
240,我爱你 ??? ?????,秋昌旼,姜草 / 秋昌旼,宋在浩 / 李顺载 / 尹秀晶 ,剧情/爱情, 韩国, 韩国,2011/2/17,118,9,100009,129879,130183,29615
241,千钧一发 Gattaca,安德鲁·尼科尔,安德鲁·尼科尔,伊桑·霍克 / 乌玛·瑟曼 / 裘德·洛 ,剧情/科幻/惊悚, 美国, 英语 / 世界语,1997/10/24,106,8.8,157209,200562,131187,36987
242,撞车 Crash,保罗·哈吉斯,保罗·哈吉斯 / 罗伯特·莫里斯克,桑德拉·布洛克 / 唐·钱德尔 / 马特·狄龙 ,剧情/犯罪, 美国 / 德国, 美国 / 德国,2004/9/10,112,8.6,240027,332584,156702,41960
243,E.T.外星人 E.T.: The Extra-Terrestrial,史蒂文·斯皮尔伯格,梅丽莎·马西森,亨利·托马斯 / 迪·沃伦斯 / 罗伯特·麦克纳夫顿 ,剧情/科幻, 美国, 英语,1982/5/26,115,8.6,241542,418510,98006,26220
244,网络谜踪 Searching,阿尼什·查甘蒂,阿尼什·查甘蒂 / 赛弗·奥哈尼安,约翰·赵 / 米切尔·拉 / 黛博拉·梅辛 ,剧情/悬疑/惊悚/犯罪, 美国 / 俄罗斯, 英语,2018/12/14,102,8.6,352894,507948,281076,96057
245,梦之安魂曲 Requiem for a Dream,达伦·阿伦诺夫斯基,小胡伯特·塞尔比 / 达伦·阿伦诺夫斯基,艾伦·伯斯汀 / 杰瑞德·莱托 / 詹妮弗·康纳利 ,剧情, 美国, 英语,2000/5/14,102,8.7,157321,210427,167391,42216
246,变脸 Face/Off,吴宇森,麦克·韦柏 / 迈克尔·科拉里,约翰·特拉沃尔塔 / 尼古拉斯·凯奇 / 琼·艾伦 ,动作/科幻/惊悚/犯罪, 美国, 英语 / 拉丁语,1997/6/27,138,8.5,303509,460719,84522,35592
247,二十二,郭柯,无,无,纪录片,中国大陆,汉语普通话,2017/8/14,99,8.7,199246,368169,159145,52294
248,人生果实 人生フルーツ,原健之,无,津端修一 / 津端英子 / 树木希林,纪录片,日本,日语,2017/1/2,91,9.5,72740,92771,121496,27075
249,四个春天,陆庆屹,无,陆运坤 / 李桂贤 / 陆庆伟 / 陆庆松 / 陆庆屹,纪录片 / 家庭,中国大陆,贵州独山话,2019/1/4,105,8.9,107290,147630,180634,42213
